un_region,subregionid,ccode,siteid,year,totcarc,illegal
Asia,SE,la,NAK,2007,1,0
Asia,SE,my,GMS,2007,2,1
Asia,SS,bd,CHU,2007,1,0
Asia,SS,in,CHR,2007,1,0
Asia,SS,in,DEO,2007,6,1
Asia,SS,in,DHG,2007,3,0
Asia,SS,in,EDO,2007,20,0
Asia,SS,in,GRO,2007,11,1
Asia,SS,in,MBJ,2007,13,1
Asia,SS,in,MYS,2007,150,33
Asia,SS,in,NIL,2007,51,0
Asia,SS,in,SVK,2007,14,0
Africa,FC,cd,GAR,2008,4,4
Africa,FC,cd,OKP,2008,3,2
Africa,FC,cd,VIR,2008,63,63
Africa,FC,cf,DZA,2008,27,17
Africa,FC,cf,SGB,2008,8,8
Africa,FC,cg,NDK,2008,4,1
Africa,FC,cg,ODZ,2008,17,9
Africa,FC,cm,BBK,2008,1,0
Africa,FC,cm,WAZ,2008,2,0
Africa,FC,ga,LOP,2008,1,0
Africa,FC,ga,MKB,2008,4,4
Africa,FC,td,ZAK,2008,86,81
Africa,FE,er,GSH,2008,5,2
Africa,FE,ke,EGK,2008,2,1
Africa,FE,ke,MRU,2008,13,5
Africa,FE,ke,SBR,2008,278,141
Africa,FE,ke,TSV,2008,79,26
Africa,FE,tz,KTV,2008,9,9
Africa,FE,tz,RHR,2008,3,2
Africa,FE,tz,SEL,2008,90,53
Africa,FE,tz,TGR,2008,5,2
Africa,FE,ug,MCH,2008,2,1
Africa,FE,ug,QEZ,2008,9,4
Africa,FS,bw,CHO,2008,113,4
Africa,FS,mz,NIA,2008,16,14
Africa,FS,na,ETO,2008,14,0
Africa,FS,za,KRU,2008,18,0
Africa,FS,zm,SLW,2008,8,7
Africa,FS,zw,CHE,2008,13,1
Africa,FS,zw,NYA,2008,20,18
Africa,FW,bf,NAZ,2008,4,4
Africa,FW,bf,WBF,2008,6,6
Africa,FW,bj,PDJ,2008,1,0
Africa,FW,ci,MAR,2008,1,1
Africa,FW,gh,KAK,2008,1,1
Africa,FW,gh,MOL,2008,2,2
Africa,FW,gn,ZIA,2008,4,4
Africa,FW,lr,SAP,2008,1,1
Africa,FW,ml,GOU,2008,2,0
Asia,SE,cn,XBN,2008,13,10
Asia,SE,id,WAY,2008,2,1
Asia,SE,th,SKP,2008,3,1
Asia,SS,bd,CHU,2008,1,0
Asia,SS,in,CHR,2008,4,0
Asia,SS,in,DHG,2008,3,1
Asia,SS,in,EDO,2008,15,0
Asia,SS,in,GRO,2008,9,2
Asia,SS,in,MBJ,2008,7,1
Asia,SS,in,MYS,2008,135,12
Asia,SS,in,NIL,2008,62,2
Asia,SS,in,SVK,2008,26,0
Africa,FC,cd,GAR,2009,6,6
Africa,FC,cd,OKP,2009,18,18
Africa,FC,cd,SAL,2009,15,14
Africa,FC,cd,VIR,2009,20,16
Africa,FC,cf,DZA,2009,10,3
Africa,FC,cf,SGB,2009,4,4
Africa,FC,cg,NDK,2009,5,2
Africa,FC,cg,ODZ,2009,3,3
Africa,FC,cm,BBK,2009,14,5
Africa,FC,cm,WAZ,2009,1,1
Africa,FC,ga,LOP,2009,3,2
Africa,FC,ga,MKB,2009,4,3
Africa,FC,td,ZAK,2009,20,12
Africa,FE,er,GSH,2009,6,1
Africa,FE,ke,EGK,2009,7,5
Africa,FE,ke,MRU,2009,40,19
Africa,FE,ke,SBR,2009,326,85
Africa,FE,ke,TSV,2009,329,52
Africa,FE,tz,KTV,2009,5,4
Africa,FE,tz,RHR,2009,3,1
Africa,FE,tz,SEL,2009,100,48
Africa,FE,tz,TGR,2009,2,0
Africa,FE,ug,MCH,2009,5,2
Africa,FE,ug,QEZ,2009,8,3
Africa,FS,bw,CHO,2009,120,16
Africa,FS,na,ZBZ,2009,7,0
Africa,FS,na,ETO,2009,21,0
Africa,FS,za,KRU,2009,35,1
Africa,FS,zm,SLW,2009,14,6
Africa,FS,zw,CHE,2009,26,10
Africa,FS,zw,NYA,2009,52,45
Africa,FW,bf,NAZ,2009,1,1
Africa,FW,bf,WBF,2009,9,8
Africa,FW,bj,PDJ,2009,8,7
Africa,FW,bj,WBJ,2009,1,0
Africa,FW,ci,MAR,2009,2,2
Africa,FW,gh,KAK,2009,1,1
Africa,FW,gn,ZIA,2009,11,11
Africa,FW,lr,SAP,2009,3,3
Africa,FW,ml,GOU,2009,4,1
Africa,FW,ne,WNE,2009,3,1
Asia,SE,cn,XBN,2009,5,2
Asia,SE,id,WAY,2009,2,1
Asia,SE,mm,ALW,2009,1,1
Asia,SE,my,GMS,2009,1,0
Asia,SE,my,KLU,2009,1,1
Asia,SE,th,SKP,2009,1,0
Asia,SE,vn,CTN,2009,6,6
Asia,SS,bd,CHU,2009,1,0
Asia,SS,bt,SCH,2009,1,0
Asia,SS,in,CHR,2009,7,4
Asia,SS,in,DHG,2009,2,0
Asia,SS,in,EDO,2009,12,0
Asia,SS,in,GRO,2009,4,3
Asia,SS,in,MBJ,2009,5,1
Asia,SS,in,MYS,2009,140,7
Asia,SS,in,NIL,2009,67,3
Asia,SS,in,SVK,2009,21,0
Africa,FC,cd,GAR,2010,15,10
Africa,FC,cd,OKP,2010,15,13
Africa,FC,cd,SAL,2010,29,28
Africa,FC,cd,VIR,2010,25,25
Africa,FC,cf,BGS,2010,6,6
Africa,FC,cf,DZA,2010,5,0
Africa,FC,cf,SGB,2010,2,2
Africa,FC,cg,NDK,2010,6,2
Africa,FC,cm,BBK,2010,5,3
Africa,FC,cm,WAZ,2010,1,0
Africa,FC,ga,LOP,2010,4,0
Africa,FC,ga,MKB,2010,18,17
Africa,FC,td,ZAK,2010,39,36
Africa,FE,er,GSH,2010,2,0
Africa,FE,ke,MRU,2010,40,28
Africa,FE,ke,SBR,2010,164,77
Africa,FE,ke,TSV,2010,81,55
Africa,FE,rw,AKG,2010,1,0
Africa,FE,tz,KTV,2010,13,12
Africa,FE,tz,RHR,2010,28,16
Africa,FE,tz,SEL,2010,195,108
Africa,FE,tz,TGR,2010,42,21
Africa,FE,ug,MCH,2010,7,2
Africa,FE,ug,QEZ,2010,11,4
Africa,FS,bw,CHO,2010,37,9
Africa,FS,mz,MAG,2010,12,7
Africa,FS,mz,NIA,2010,77,65
Africa,FS,na,ZBZ,2010,6,2
Africa,FS,na,ETO,2010,11,0
Africa,FS,za,KRU,2010,14,0
Africa,FS,zm,SLW,2010,49,26
Africa,FS,zw,CHE,2010,29,4
Africa,FS,zw,NYA,2010,19,19
Africa,FW,bf,NAZ,2010,1,1
Africa,FW,bj,PDJ,2010,6,0
Africa,FW,gh,KAK,2010,1,0
Africa,FW,gh,MOL,2010,1,1
Africa,FW,ml,GOU,2010,27,0
Africa,FW,ne,WNE,2010,3,1
Africa,FW,ng,YKR,2010,6,4
Asia,SE,cn,XBN,2010,3,2
Asia,SE,id,BBS,2010,1,0
Asia,SE,id,WAY,2010,1,1
Asia,SE,kh,MKR,2010,3,2
Asia,SE,my,GMS,2010,1,1
Asia,SE,my,KLU,2010,1,1
Asia,SE,th,KUI,2010,1,1
Asia,SE,th,SKP,2010,1,0
Asia,SE,vn,CTN,2010,2,0
Asia,SS,in,CHR,2010,3,1
Asia,SS,in,DHG,2010,1,0
Asia,SS,in,EDO,2010,10,0
Asia,SS,in,GRO,2010,5,5
Asia,SS,in,MBJ,2010,20,9
Asia,SS,in,MYS,2010,124,7
Asia,SS,in,NIL,2010,53,2
Asia,SS,in,SVK,2010,10,0
Africa,FC,cd,GAR,2011,14,13
Africa,FC,cd,OKP,2011,37,37
Africa,FC,cd,SAL,2011,9,9
Africa,FC,cd,VIR,2011,16,16
Africa,FC,cf,BGS,2011,8,7
Africa,FC,cf,DZA,2011,10,1
Africa,FC,cf,SGB,2011,6,6
Africa,FC,cg,NDK,2011,10,4
Africa,FC,cg,ODZ,2011,123,118
Africa,FC,cm,BBK,2011,5,4
Africa,FC,cm,WAZ,2011,1,1
Africa,FC,ga,LOP,2011,8,2
Africa,FC,ga,MKB,2011,31,27
Africa,FC,td,ZAK,2011,7,5
Africa,FE,ke,EGK,2011,12,7
Africa,FE,ke,MRU,2011,81,63
Africa,FE,ke,SBR,2011,264,161
Africa,FE,ke,TSV,2011,107,65
Africa,FE,rw,AKG,2011,4,1
Africa,FE,tz,KTV,2011,29,25
Africa,FE,tz,MKZ,2011,2,2
Africa,FE,tz,RHR,2011,34,32
Africa,FE,tz,SEL,2011,224,143
Africa,FE,tz,TGR,2011,5,1
Africa,FE,ug,MCH,2011,26,24
Africa,FE,ug,QEZ,2011,20,16
Africa,FS,bw,CHO,2011,42,14
Africa,FS,mz,MAG,2011,18,15
Africa,FS,mz,NIA,2011,85,76
Africa,FS,na,ZBZ,2011,29,17
Africa,FS,na,ETO,2011,27,0
